fips,resistance,recovery,resilience
13099,0.255993,0.753221,0.906417
13101,0.226643,0.522046,0.855683
13103,0.353009,0.683123,0.908821
13105,0.256147,0.703691,0.899172
13107,0.246824,0.741456,0.903101
13109,0.24512,0.678617,0.893754
13111,0.267996,0.700037,0.901012
13113,0.321933,0.658493,0.90134
13115,0.274861,0.673942,0.895927
13117,0.383152,0.597741,0.899424
13119,0.248305,0.676569,0.893629
13121,0.274576,0.706523,0.901521
13123,0.271857,0.663769,0.893622
13125,0.227397,0.614062,0.87753
13127,0.297607,0.722209,0.907158
13129,0.266079,0.63487,0.887607
13131,0.232558,0.666603,0.889002
13133,0.273676,0.689158,0.899322
13135,0.359532,0.581853,0.892549
13137,0.288589,0.695232,0.901395
13139,0.311124,0.658619,0.899689
13141,0.185423,0.622385,0.871991
13143,0.235886,0.695861,0.894199
13145,0.304589,0.692531,0.903898
13147,0.253621,0.673078,0.893599
13149,0.260894,0.663041,0.891689
13151,0.393375,0.642656,0.908936
13153,0.338135,0.785266,0.919923
13155,0.261892,0.7353,0.904591
13157,0.289362,0.652327,0.894518
13159,0.289077,0.691965,0.901933
13161,0.261152,0.677617,0.894893
13163,0.239798,0.722502,0.899281
13165,0.234645,0.756058,0.904041
13167,0.198243,0.624546,0.874644
13169,0.279428,0.648625,0.892265
13171,0.253785,0.723558,0.901827
13173,0.23672,0.692915,0.893648
13175,0.247146,0.712551,0.898592
13177,0.316255,0.670477,0.902231
13179,0.364701,0.735202,0.917778
13181,0.232651,0.722115,0.898644
13183,0.29062,0.53903,0.870331
13185,0.272273,0.70539,0.901175
13187,0.255693,0.59412,0.87744
13189,0.232301,0.681219,0.891204
13191,0.271665,0.710059,0.902101
13193,0.203966,0.640638,0.87854
13195,0.28886,0.723234,0.906049
13197,0.221606,0.669364,0.886838
13199,0.246735,0.737039,0.90255
13201,0.261345,0.770743,0.908902
13205,0.227045,0.710872,0.895881
13207,0.267351,0.688443,0.89801
13209,0.222387,0.690031,0.891458
13211,0.306309,0.668196,0.900388
13213,0.240678,0.606719,0.877637
13215,0.285251,0.741759,0.908352
13217,0.310844,0.654101,0.898575
13219,0.369258,0.635622,0.905039
13221,0.292864,0.669812,0.898622
13223,0.405765,0.620063,0.906689
13225,0.284471,0.717489,0.904001
13227,0.299452,0.667951,0.898907
13229,0.291238,0.689225,0.90171
13231,0.325723,0.773327,0.91795
13233,0.270234,0.68023,0.89622
13235,0.227662,0.697355,0.893441
13237,0.297055,0.697132,0.903433
13239,0.218274,0.638827,0.882111
13241,0.25698,0.695148,0.898313
13243,0.269711,0.756617,0.909246
13245,0.280361,0.719845,0.904499
13247,0.344689,0.634355,0.900008
13249,0.245222,0.69621,0.896042
13251,0.259366,0.7222,0.902698
13253,0.239416,0.729676,0.900829
13255,0.240902,0.688244,0.893752
13257,0.276457,0.70131,0.901725
13259,0.229528,0.728399,0.899392
13261,0.232221,0.73138,0.899951
13263,0.243881,0.725664,0.899917
13265,0.251488,0.804619,0.912416
13267,0.230596,0.718417,0.89678
13269,0.23295,0.728494,0.899244
13271,0.215434,0.693418,0.890481
13273,0.247778,0.737922,0.902922
13275,0.237959,0.69421,0.894636
13277,0.258033,0.709553,0.900134
13279,0.238569,0.671382,0.890965
13281,0.280163,0.704371,0.903035
13283,0.229579,0.721309,0.897348
13285,0.254953,0.647996,0.889027
13287,0.250985,0.750018,0.904635
13289,0.243141,0.70494,0.896145
13291,0.274684,0.703406,0.901716
13293,0.263742,0.692777,0.898575
13295,0.272084,0.69618,0.900062
13297,0.281522,0.666795,0.895418
13299,0.260555,0.712745,0.901333
13301,0.232709,0.718762,0.897571
13303,0.254097,0.722935,0.901335
13305,0.2556,0.717743,0.901426
13307,0.20026,0.607405,0.871709
13309,0.199905,0.676801,0.885075
13311,0.275135,0.654781,0.893176
13313,0.276429,0.617816,0.886313
13315,0.201402,0.637738,0.878232
13317,0.236971,0.755957,0.904138
13319,0.264077,0.692749,0.898692
13321,0.263603,0.689058,0.897342
15001,0.307252,0.675581,0.901569
15003,0.344216,0.730454,0.914332
15005,0.295131,0.758819,0.911972
15007,0.305337,0.688441,0.902399
15009,0.314854,0.637815,0.896551
16001,0.357542,0.694259,0.910707
16003,0.271139,0.662006,0.894177
16005,0.313571,0.708015,0.907726
16007,0.3257,0.751731,0.915189
16009,0.314728,0.781892,0.917349
16011,0.281712,0.705226,0.90226
16013,0.368584,0.634498,0.905301
16015,0.263964,0.698291,0.899801
16017,0.2866,0.68825,0.900416
16019,0.369023,0.736831,0.918437
16021,0.280045,0.738792,0.90797
16023,0.264815,0.670306,0.894869
16025,0.317157,0.658123,0.901206
16027,0.327107,0.655482,0.9004
16029,0.331519,0.704679,0.910481
16031,0.297555,0.673825,0.900704
16033,0.301151,0.672476,0.902025
16035,0.310492,0.773344,0.915992
16037,0.287935,0.757053,0.912019
16039,0.363491,0.76346,0.921733
16041,0.357618,0.697588,0.911684
16043,0.279034,0.636506,0.892379
16045,0.307202,0.717934,0.90844
16047,0.295444,0.624285,0.890977
16049,0.291997,0.736214,0.908537
16051,0.322002,0.598218,0.890589
16053,0.324656,0.672414,0.903456
16055,0.361594,0.725407,0.91636
16057,0.293838,0.648771,0.895496
16059,0.254381,0.763249,0.907655
16061,0.30046,0.766696,0.914253
16063,0.303448,0.69942,0.905098
16065,0.290178,0.625629,0.890929
16067,0.308993,0.679486,0.90299
16069,0.293806,0.715825,0.905444
16071,0.323071,0.750599,0.915381
16073,0.271112,0.615168,0.885816
16075,0.272353,0.677839,0.896286
16077,0.331977,0.7021,0.909705
16079,0.224816,0.71971,0.897729
16081,0.355792,0.645156,0.904195
16083,0.337723,0.676301,0.905858
16085,0.31801,0.733309,0.911619
16087,0.283632,0.730128,0.906933
17001,0.269988,0.640187,0.890037
17003,0.220094,0.724164,0.897341
17005,0.252751,0.711808,0.899788
17007,0.307814,0.604907,0.888489
17009,0.233462,0.588165,0.873574
17011,0.292117,0.686029,0.901274
17013,0.296161,0.759311,0.913034
17015,0.275091,0.702442,0.901974
17017,0.261861,0.662058,0.893269
17019,0.284076,0.628278,0.889469
17021,0.253992,0.62371,0.883943
17023,0.285234,0.693851,0.901818
17025,0.266424,0.691009,0.898959
17027,0.274281,0.612523,0.886145
17029,0.237588,0.618815,0.881249
17031,0.26462,0.661546,0.892368
17033,0.252613,0.618524,0.882718
17035,0.260904,0.661878,0.892734
17037,0.287659,0.600028,0.885187
17039,0.320554,0.689142,0.906458
17041,0.309051,0.652646,0.899061
17043,0.335315,0.625189,0.89632
17045,0.231469,0.61503,0.879191
17047,0.265695,0.676595,0.895959
17049,0.27751,0.621183,0.888526
17051,0.232336,0.613795,0.879401
17053,0.283997,0.692244,0.900829
17055,0.25932,0.705173,0.899698
17057,0.25735,0.623228,0.884199
17059,0.243099,0.730592,0.900901
17061,0.278883,0.722403,0.905563
17063,0.336475,0.650996,0.901501
17065,0.262483,0.736215,0.905639
17067,0.292576,0.723579,0.907148
17069,0.219954,0.697489,0.892684
17071,0.309007,0.732374,0.909981
17073,0.326208,0.699918,0.908868
17075,0.285862,0.69848,0.901822
17077,0.213432,0.627376,0.877768
17079,0.333482,0.71662,0.9123
17081,0.245214,0.622153,0.882498
17083,0.300891,0.679329,0.901696
17085,0.298182,0.685048,0.902126
17087,0.205226,0.621736,0.874533
17089,0.293107,0.585927,0.882251
17091,0.242887,0.606075,0.878724
17093,0.498755,0.668183,0.928735
17095,0.253601,0.617857,0.88275
17097,0.309821,0.604535,0.888633
17099,0.284069,0.668358,0.896132
17101,0.230861,0.620239,0.880356
17103,0.288194,0.691163,0.901453
17105,0.26083,0.605142,0.881732
17107,0.240369,0.613818,0.88054
17109,0.217982,0.608653,0.875294
17111,0.334729,0.564618,0.885623
17113,0.290589,0.589104,0.883367
17115,0.275264,0.633944,0.88887
17117,0.294961,0.706257,0.904409
17119,0.291705,0.68394,0.899614
17121,0.265971,0.697971,0.899977
17123,0.288344,0.67945,0.899924
17125,0.289562,0.739789,0.909346
17127,0.253033,0.711383,0.900035
17129,0.320116,0.721877,0.910682
17131,0.323712,0.718674,0.911397
